title;price;seller;ram;memory
Apple iPhone 12 128Gb Blue;373900;M-TELL;6 Гб;128Гб
Apple iPhone 12 Pro 128Gb Pacific Blue;430900;M-TELL;6 Гб;128Гб
Samsung Galaxy A51 6/128Gb;121935;RM-Smart.Technology;null;null
Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue;101465;Eva Phone;6 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Silver;472899;RM-Smart.Technology;6 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Graphite;472899;RM-Smart.Technology;6 Гб;128Гб
Xiaomi Redmi 9 4/64Gb Ocean Green;56475;Eva Phone;4 Гб;64Гб
Apple iPhone 12 Pro Max 256Gb Pacific Blue;513985;Eva Phone;6 Гб;256Гб
Apple iPhone 12 Pro Max 256Gb Silver;513865;ABC-Mobile;6 Гб;256Гб
Apple iPhone 12 Pro 128Gb Pacific Blue;430980;Eva Phone;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Black;414959;Tsmart.kz;12 Гб;256Гб
Apple iPhone 12 128Gb Blue;373875;ABC-Mobile;6 Гб;128Гб
Apple iPhone 12 Pro 128Gb Silver;430865;ABC-Mobile;6 Гб;128Гб
Apple iPhone 11 128Gb White;287395;ABC-Mobile;4 Гб;128Гб
Apple iPhone 12 Mini 64Gb Blue;314965;ABC-Mobile;6 Гб;64Гб
